"Subjects","Valence","Noise","Neighbourhood","Socioeconomic","Sex"
7,"Positive",0.01216529514,"StaAna","Middle","Male"
7,"Negative",0.03022283022,"StaAna","Middle","Male"
7,"Negative",0.01459813368,"StaAna","Middle","Male"
7,"Negative",0.007922570894,"StaAna","Middle","Male"
7,"Positive",0.01160548312,"StaAna","Middle","Male"
7,"Negative",0.04225247166,"StaAna","Middle","Male"
7,"Negative",0.005113896134,"StaAna","Middle","Male"
8,"Negative",0.03889146369,"StaAna","Middle","Female"
8,"Negative",0.04677809643,"StaAna","Middle","Female"
8,"Negative",0.04807567435,"StaAna","Middle","Female"
8,"Negative",0.03347219944,"StaAna","Middle","Female"
8,"Negative",0.0204733397,"StaAna","Middle","Female"
8,"Negative",0.03024450799,"StaAna","Middle","Female"
8,"Positive",0.04341956225,"StaAna","Middle","Female"
8,"Negative",0.03992467569,"StaAna","Middle","Female"
8,"Positive",0.03563769623,"StaAna","Middle","Female"
8,"Negative",0.03853178906,"StaAna","Middle","Female"
8,"Positive",0.02383167505,"StaAna","Middle","Female"
8,"Positive",0.02589608469,"StaAna","Middle","Female"
8,"Negative",0.05297187562,"StaAna","Middle","Female"
8,"Negative",0.02942254285,"StaAna","Middle","Female"
8,"Positive",0.0327561185,"StaAna","Middle","Female"
8,"Positive",0.03920704195,"StaAna","Middle","Female"
8,"Positive",0.01215153035,"StaAna","Middle","Female"
8,"Negative",0.01328238593,"StaAna","Middle","Female"
8,"Positive",0.02484385498,"StaAna","Middle","Female"
8,"Positive",0.02104100737,"StaAna","Middle","Female"
8,"Positive",0.04062523463,"StaAna","Middle","Female"
8,"Negative",0.01914305869,"StaAna","Middle","Female"
8,"Positive",0.0338418178,"StaAna","Middle","Female"
8,"Negative",0.01850842704,"StaAna","Middle","Female"
8,"Negative",0.01516188382,"StaAna","Middle","Female"
9,"Negative",0.02303700626,"StaAna","Middle","Female"
9,"Negative",0.02037381317,"StaAna","Middle","Female"
9,"Negative",0.0234482536,"StaAna","Middle","Female"
9,"Negative",0.03640629117,"StaAna","Middle","Female"
9,"Negative",0.0322140049,"StaAna","Middle","Female"
9,"Negative",0.02947830994,"StaAna","Middle","Female"
9,"Negative",0.01968557829,"StaAna","Middle","Female"
9,"Negative",0.03207570811,"StaAna","Middle","Female"
9,"Negative",0.03068589264,"StaAna","Middle","Female"
9,"Positive",0.03923480153,"StaAna","Middle","Female"
9,"Positive",0.02534446865,"StaAna","Middle","Female"
9,"Negative",0.03653688166,"StaAna","Middle","Female"
9,"Negative",0.02824619046,"StaAna","Middle","Female"
9,"Negative",0.0396123734,"StaAna","Middle","Female"
10,"Negative",0.02259345784,"StaAna","Middle","Male"
10,"Negative",0.009573654759,"StaAna","Middle","Male"
10,"Negative",0.009357920259,"StaAna","Middle","Male"
10,"Negative",0.004942342988,"StaAna","Middle","Male"
10,"Negative",0.02143690786,"StaAna","Middle","Male"
10,"Negative",0.00438808117,"StaAna","Middle","Male"
10,"Positive",0.00721845557,"StaAna","Middle","Male"
10,"Negative",0.00856513471,"StaAna","Middle","Male"
10,"Negative",0.009142158989,"StaAna","Middle","Male"
10,"Negative",0.01342949484,"StaAna","Middle","Male"
10,"Negative",0.01019244645,"StaAna","Middle","Male"
10,"Positive",0.005446700771,"StaAna","Middle","Male"
10,"Negative",0.05209911769,"StaAna","Middle","Male"
10,"Positive",0.002759775351,"StaAna","Middle","Male"
10,"Negative",0.01116245255,"StaAna","Middle","Male"
10,"Positive",0.009654688534,"StaAna","Middle","Male"
10,"Positive",0.004627388742,"StaAna","Middle","Male"
10,"Positive",0.006103886972,"StaAna","Middle","Male"
10,"Negative",0.01208540209,"StaAna","Middle","Male"
11,"Negative",0.0432850066,"StaAna","Middle","Male"
11,"Positive",0.01974747675,"StaAna","Middle","Male"
11,"Positive",0.02359213298,"StaAna","Middle","Male"
11,"Negative",0.01636660978,"StaAna","Middle","Male"
11,"Positive",0.02129423758,"StaAna","Middle","Male"
11,"Negative",0.03689104769,"StaAna","Middle","Male"
11,"Negative",0.01957271489,"StaAna","Middle","Male"
11,"Negative",0.04752939961,"StaAna","Middle","Male"
11,"Positive",0.02753298303,"StaAna","Middle","Male"
11,"Positive",0.0090763276,"StaAna","Middle","Male"
