Subjects,Valence_num,Valence,Noise,Pedestrians,Cars,Pupil,Neighbourhood_num,Neighbourhood,Socioeconomic_num,Socioeconomic,Sex_num
8,0,Negative,0.02942254285,0,1.237113402,[],2,StaAna,1,Middle,1
8,1,Positive,0.0327561185,0,0.2268041237,5.14,2,StaAna,1,Middle,1
8,1,Positive,0.03920704195,0,1.350515464,4.84,2,StaAna,1,Middle,1
8,1,Positive,0.01215153035,0,0.412371134,[],2,StaAna,1,Middle,1
8,0,Negative,0.01328238593,0,1.113402062,[],2,StaAna,1,Middle,1
8,1,Positive,0.02484385498,1.567010309,0.05154639175,[],2,StaAna,1,Middle,1
8,1,Positive,0.02104100737,0,0.1649484536,[],2,StaAna,1,Middle,1
8,1,Positive,0.04062523463,0.05154639175,1.804123711,4.941319029,2,StaAna,1,Middle,1
8,0,Negative,0.01914305869,1.350515464,2.381443299,[],2,StaAna,1,Middle,1
8,1,Positive,0.0338418178,0,3.969072165,[],2,StaAna,1,Middle,1
8,0,Negative,0.01850842704,0,1.525773196,[],2,StaAna,1,Middle,1
8,0,Negative,0.01516188382,1.265306122,0.2959183673,[],2,StaAna,1,Middle,1
9,0,Negative,0.02303700626,0,1.06185567,[],2,StaAna,1,Middle,1
9,0,Negative,0.02037381317,0.0412371134,0.2783505155,[],2,StaAna,1,Middle,1
9,0,Negative,0.0234482536,0,0.1134020619,[],2,StaAna,1,Middle,1
9,0,Negative,0.03640629117,0,0.9587628866,2.59,2,StaAna,1,Middle,1
9,0,Negative,0.0322140049,0.3298969072,0.5051546392,2.26,2,StaAna,1,Middle,1
9,0,Negative,0.02947830994,0.05154639175,0.6597938144,[],2,StaAna,1,Middle,1
9,0,Negative,0.01968557829,0.5979381443,0.9896907216,2.61,2,StaAna,1,Middle,1
9,0,Negative,0.03207570811,0.2371134021,0.2989690722,[],2,StaAna,1,Middle,1
9,0,Negative,0.03068589264,0,0.7628865979,[],2,StaAna,1,Middle,1
9,1,Positive,0.03923480153,0.01030927835,1.608247423,[],2,StaAna,1,Middle,1
9,1,Positive,0.02534446865,0,0.6701030928,2.48,2,StaAna,1,Middle,1
9,0,Negative,0.03653688166,0.7113402062,1.845360825,[],2,StaAna,1,Middle,1
9,0,Negative,0.02824619046,0.03092783505,0.9381443299,[],2,StaAna,1,Middle,1
9,0,Negative,0.0396123734,0.7142857143,0.1428571429,2.077386598,2,StaAna,1,Middle,1
10,0,Negative,0.02259345784,0.7835051546,0.4845360825,2.88016621,2,StaAna,1,Middle,0
10,0,Negative,0.009573654759,0,1.536082474,3.278277065,2,StaAna,1,Middle,0
10,0,Negative,0.009357920259,0,1.164948454,3.160791726,2,StaAna,1,Middle,0
10,0,Negative,0.004942342988,0.587628866,1.731958763,2.933309779,2,StaAna,1,Middle,0
10,0,Negative,0.02143690786,0.8969072165,0.8969072165,3.039384287,2,StaAna,1,Middle,0
10,0,Negative,0.00438808117,0.0618556701,1.371134021,3.035028475,2,StaAna,1,Middle,0
10,1,Positive,0.00721845557,0,3.103092784,2.772108163,2,StaAna,1,Middle,0
10,0,Negative,0.00856513471,0,1.381443299,2.609307032,2,StaAna,1,Middle,0
10,0,Negative,0.009142158989,0,0.3092783505,2.973186576,2,StaAna,1,Middle,0
10,0,Negative,0.01342949484,0,0.9072164948,3.18248855,2,StaAna,1,Middle,0
